feature,importance
hard_rule_score,0.12235042
has_mismatch,0.10040898
total_vn_flags,0.097391896
user_word_count,0.09033538
opted_out_high_complete,0.07314519
completed_incomplete,0.054297116
tr_length,0.052805454
whisper_mismatch_count,0.048558798
outcome_wrong_number,0.048216432
n_qa_pairs,0.04626348
vn_miscategorize,0.03673083
whisper_tr_length,0.032515153
turn_count,0.027641986
outcome_escalated,0.020103268
whisper_skipped,0.017363636
outcome_enc,0.016959587
total_kw_flags,0.0134098055
vn_length,0.010644402
user_turn_count,0.01041593
max_time_in_call,0.009882836
avg_user_turn_words,0.008217852
call_duration,0.007788017
outcome_opted_out,0.0072268643
completed_low_completeness,0.007174179
avg_agent_turn_words,0.0053581595
agent_word_count,0.0053290813
answered_count,0.0050237067
agent_dominance_ratio,0.0049920003
agent_turn_count,0.00487887
total_tr_flags,0.003534097
interruption_count,0.0028648395
form_submitted_enc,0.0015479873
response_completeness,0.0015368353
outcome_completed,0.0013109992
hour_of_day,0.00075552525
questions_unanswered,0.00073090184
weight_value,0.00068335875
attempt_number,0.00040453864
suspicious_weight,0.00036691574
n_empty_answers,0.00034223616
day_of_week_enc,0.00031902513
outcome_incomplete,0.00017347217
question_count,0.0
vn_medical_advice,0.0
vn_stt_error,0.0
few_user_turns_completed,0.0
vn_skipped_q,0.0
high_unanswered,0.0
long_call_few_answers,0.0
agent_dominated,0.0
short_completed,0.0
high_mismatch,0.0
escalated_form_submitted,0.0
zero_answers_completed,0.0
high_interruptions,0.0
vn_weight_error,0.0
vn_whisper_issue,0.0
vn_contradict,0.0
tr_medical_question,0.0
tr_reschedule,0.0
tr_confirm_wrong,0.0
tr_agent_advice,0.0
tr_escalate_signal,0.0
vn_outcome_issue,0.0
tr_not_interested,0.0
tr_wrong_person,0.0
has_numeric,0.0
whisper_status_enc,0.0
has_weight,0.0
outcome_scheduled,0.0
outcome_voicemail,0.0
